level,exp_required
1,24
2,8
3,8
4,8
5,16
6,16
7,16
8,24
9,48
10,56
11,56
12,64
13,76
14,82
15,82
16,82
17,82
18,82
19,100
20,110
21,138
22,138
23,142
24,146
25,151
26,155
27,160
28,165
29,170
30,174
31,181
32,185
33,191
34,197
35,202
36,209
37,230
38,252
39,278
40,306
41,342
42,383
43,430
44,481
45,558
46,647
47,750
48,871
49,1010
50,1172
51,1359
52,1576
53,1770
54,1770
55,1770
56,1770
57,1770
58,1770
59,1770
60,1770
61,1770
62,1770
63,1770
64,1770
65,2655
66,2655
67,2655
68,2655
69,2655
70,2655
71,2655
72,2655
73,2655
74,2655
75,2655
76,3540
77,3540
78,3540
79,3540
80,3540
81,3540
82,3540
83,3540
84,3540
85,3540
86,3540
87,3540
88,3540
89,3540
90,3540
91,3540
92,3540
93,3540
94,3540
95,3540
96,3540
97,3540
98,3540
99,3540
100,3540
101,4425
102,4425
103,4425
104,4425
105,4425
106,4425
107,4425
108,4425
109,4425
110,4425
